ZIPCODE,TREND2007,POPULATION,RATIO
93003,36669.5,50474,0.726502753893093
93004,3317.400146,29149,0.113808368932039
93006,0,-100,-100
93010,28719.29883,42901,0.669431920701149
93012,50094.60156,34617,1.44710984660716
93013,14286.2002,16091,0.887837934248959
93015,6509.399902,17334,0.375527858659282
93020,0,-100,-100
93021,15351,36422,0.421476030970293
93022,0,6106,0
93023,89630.70313,20589,4.35332959978629
93030,6248,59372,0.105234790810483
93033,0,82728,0
93035,9329.599609,27732,0.336420006094043
93036,0,41691,0
93040,0,2031,0
93041,0,23641,0
93060,0,32811,0
93062,0,-100,-100
93063,11880.40039,54366,0.218526291983961
93065,56756.10156,72508,0.782756407017157
93066,6796.200195,3102,2.19090915377176
93067,0,895,0
93101,5037.799805,31683,0.159006401066818
93103,3096,20249,0.152896439330337
93105,5779.799805,24815,0.232915567398751
93106,0,-100,-100
93108,15154.2002,11112,1.36376891648668
93109,0,10858,0
93110,36289.30078,16829,2.15635514766177
93111,13172.5,17370,0.758347725964306
93117,15078,53217,0.283330514685157
93202,0,4143,0
93203,0,20938,0
93204,0,15529,0
93205,6292,2113,2.97775674396593
93206,0,2300,0
93207,0,263,0
93208,0,104,0
93210,5637.600098,19504,0.289048405352748
93212,0,26079,0
93215,0,55659,0
93219,0,10194,0
93221,22089.19922,14945,1.47803273469388
93222,0,2099,0
93223,0,10604,0
93225,0,5077,0
93226,0,282,0
93227,0,-100,-100
93230,55584.60156,65264,0.851688550502574
93235,0,4559,0
93238,8371.799805,1490,5.61865758724832
93240,7481.399902,6056,1.23536986492734
93241,0,17489,0
93242,5001.600098,3468,1.44221456113033
93244,7905.600098,534,14.8044945655431
93245,17736.69922,37412,0.474091179835347
93247,0,17423,0
93249,0,2739,0
93250,3146,13522,0.23265789084455
93252,0,4176,0
93255,0,614,0
93256,4311.899902,5753,0.749504589257779
93257,15259.2002,75004,0.203445152258546
93261,0,3099,0
93263,23694.80078,19582,1.21002965887039
93265,9540.800781,3699,2.57929191159773
93266,0,1587,0
93267,0,6237,0
93268,5270.399902,16897,0.311913351600876
93270,0,5837,0
93271,15475.7998,2276,6.79956054481547
93272,0,3583,0
93274,30718.30078,69721,0.440588929877655
93276,0,161,0
93277,27543.69922,50607,0.54426658802142
93280,0,27152,0
93282,0,-100,-100
93283,7794.299805,2040,3.82073519852941
93285,0,2536,0
93286,3036,9548,0.317972350230415
93290,6362.400391,-100,-100
93291,45694.5,52849,0.864623739332816
93292,37699.5,39032,0.965861344537815
93301,0,12248,0
93304,9140.400391,48731,0.187568496254951
93305,0,37601,0
93306,28953.90039,64587,0.448293006177714
93307,5552.200195,82658,0.0671707541314815
93308,42379.10156,52447,0.808036714397392
