Id,Id2,Geography,Estimate,Error
8600000US91710,91710,ZCTA5 91710,80801,986
8600000US91711,91711,ZCTA5 91711,35857,296
8600000US91722,91722,ZCTA5 91722,35408,1479
8600000US91723,91723,ZCTA5 91723,18713,882
8600000US91724,91724,ZCTA5 91724,24935,1167
8600000US91730,91730,ZCTA5 91730,65610,1424
8600000US91731,91731,ZCTA5 91731,29703,1263
8600000US91732,91732,ZCTA5 91732,61832,1401
8600000US91733,91733,ZCTA5 91733,43902,1166
8600000US91737,91737,ZCTA5 91737,24254,1047
8600000US91739,91739,ZCTA5 91739,35770,1166
8600000US91740,91740,ZCTA5 91740,26115,744
8600000US91741,91741,ZCTA5 91741,25282,694
8600000US91744,91744,ZCTA5 91744,83182,1861
8600000US91745,91745,ZCTA5 91745,56370,1402
8600000US91746,91746,ZCTA5 91746,31086,1632
8600000US91748,91748,ZCTA5 91748,46946,1427
8600000US91750,91750,ZCTA5 91750,33906,725
8600000US91752,91752,ZCTA5 91752,29664,1710
8600000US91754,91754,ZCTA5 91754,33052,811
8600000US91755,91755,ZCTA5 91755,27334,811
8600000US91759,91759,ZCTA5 91759,274,82
8600000US91761,91761,ZCTA5 91761,59844,1674
8600000US91762,91762,ZCTA5 91762,54406,1995
8600000US91763,91763,ZCTA5 91763,36739,256
8600000US91764,91764,ZCTA5 91764,54397,1827
8600000US91765,91765,ZCTA5 91765,47433,565
8600000US91766,91766,ZCTA5 91766,70447,1460
8600000US91767,91767,ZCTA5 91767,49808,1254
8600000US91768,91768,ZCTA5 91768,36191,1120
8600000US91770,91770,ZCTA5 91770,61836,748
8600000US91773,91773,ZCTA5 91773,33273,222
8600000US91775,91775,ZCTA5 91775,24775,794
8600000US91776,91776,ZCTA5 91776,37716,716
8600000US91780,91780,ZCTA5 91780,34877,562
8600000US91784,91784,ZCTA5 91784,26457,868
8600000US91786,91786,ZCTA5 91786,51439,793
8600000US91789,91789,ZCTA5 91789,42332,672
8600000US91790,91790,ZCTA5 91790,44631,1545
8600000US91791,91791,ZCTA5 91791,32226,1359
8600000US91792,91792,ZCTA5 91792,31338,1153
8600000US91801,91801,ZCTA5 91801,53964,969
8600000US91803,91803,ZCTA5 91803,29571,977
8600000US91901,91901,ZCTA5 91901,17034,968
8600000US91902,91902,ZCTA5 91902,17659,1031
8600000US91905,91905,ZCTA5 91905,1088,441
8600000US91906,91906,ZCTA5 91906,3679,560
8600000US91910,91910,ZCTA5 91910,73761,1515
8600000US91911,91911,ZCTA5 91911,82708,2197
8600000US91913,91913,ZCTA5 91913,40698,1859
8600000US91914,91914,ZCTA5 91914,16200,1357
8600000US91915,91915,ZCTA5 91915,25172,987
8600000US91916,91916,ZCTA5 91916,1566,402
8600000US91917,91917,ZCTA5 91917,560,312
8600000US91931,91931,ZCTA5 91931,377,289
8600000US91932,91932,ZCTA5 91932,25640,865
8600000US91934,91934,ZCTA5 91934,364,381
8600000US91935,91935,ZCTA5 91935,8171,783
8600000US91941,91941,ZCTA5 91941,31582,1505
8600000US91942,91942,ZCTA5 91942,38719,875
8600000US91945,91945,ZCTA5 91945,25523,97
8600000US91948,91948,ZCTA5 91948,57,59
8600000US91950,91950,ZCTA5 91950,60283,484
8600000US91962,91962,ZCTA5 91962,1071,253
8600000US91963,91963,ZCTA5 91963,1193,475
8600000US91977,91977,ZCTA5 91977,60769,1868
8600000US91978,91978,ZCTA5 91978,9003,570
8600000US91980,91980,ZCTA5 91980,258,340
8600000US92003,92003,ZCTA5 92003,4000,422
8600000US92004,92004,ZCTA5 92004,2637,529
8600000US92007,92007,ZCTA5 92007,11135,821
8600000US92008,92008,ZCTA5 92008,26746,1019
8600000US92009,92009,ZCTA5 92009,41210,1120
8600000US92010,92010,ZCTA5 92010,14695,751
8600000US92011,92011,ZCTA5 92011,22416,957
8600000US92014,92014,ZCTA5 92014,13247,522
8600000US92019,92019,ZCTA5 92019,43676,1594
8600000US92020,92020,ZCTA5 92020,56807,1583
8600000US92021,92021,ZCTA5 92021,64441,1992
8600000US92024,92024,ZCTA5 92024,48725,823
8600000US92025,92025,ZCTA5 92025,48567,1929
8600000US92026,92026,ZCTA5 92026,49309,1658
8600000US92027,92027,ZCTA5 92027,55129,1619
8600000US92028,92028,ZCTA5 92028,48103,1555
8600000US92029,92029,ZCTA5 92029,19823,1016
8600000US92036,92036,ZCTA5 92036,3202,486
8600000US92037,92037,ZCTA5 92037,41746,1418
8600000US92040,92040,ZCTA5 92040,42232,1821
8600000US92054,92054,ZCTA5 92054,42688,1825
8600000US92055,92055,ZCTA5 92055,13130,2158
8600000US92056,92056,ZCTA5 92056,51142,1340
8600000US92057,92057,ZCTA5 92057,54274,1592
8600000US92058,92058,ZCTA5 92058,45685,2036
8600000US92059,92059,ZCTA5 92059,1301,288
8600000US92060,92060,ZCTA5 92060,162,133
8600000US92061,92061,ZCTA5 92061,2301,655
8600000US92064,92064,ZCTA5 92064,48208,141
8600000US92065,92065,ZCTA5 92065,36341,1409
8600000US92066,92066,ZCTA5 92066,277,128
8600000US92067,92067,ZCTA5 92067,7524,1026
8600000US92069,92069,ZCTA5 92069,45362,1368
8600000US92070,92070,ZCTA5 92070,1244,316
8600000US92071,92071,ZCTA5 92071,53841,138
8600000US92075,92075,ZCTA5 92075,12104,229
8600000US92078,92078,ZCTA5 92078,43220,1377
8600000US92081,92081,ZCTA5 92081,27598,1180
8600000US92082,92082,ZCTA5 92082,19302,1238
8600000US92083,92083,ZCTA5 92083,36915,1324
8600000US92084,92084,ZCTA5 92084,47077,1408
8600000US92086,92086,ZCTA5 92086,1191,217
8600000US92091,92091,ZCTA5 92091,1268,408
8600000US92101,92101,ZCTA5 92101,35373,1604
8600000US92102,92102,ZCTA5 92102,43354,1680
8600000US92103,92103,ZCTA5 92103,30226,1031
8600000US92104,92104,ZCTA5 92104,44723,1580
8600000US92105,92105,ZCTA5 92105,67482,2228
8600000US92106,92106,ZCTA5 92106,19971,839
8600000US92107,92107,ZCTA5 92107,26746,901
8600000US92108,92108,ZCTA5 92108,18390,880
8600000US92109,92109,ZCTA5 92109,43857,1402
8600000US92110,92110,ZCTA5 92110,27254,1198
8600000US92111,92111,ZCTA5 92111,46072,1869
8600000US92113,92113,ZCTA5 92113,55782,2426
8600000US92114,92114,ZCTA5 92114,68524,1780
8600000US92115,92115,ZCTA5 92115,60054,2023
8600000US92116,92116,ZCTA5 92116,31828,1456
8600000US92117,92117,ZCTA5 92117,52375,1394
8600000US92118,92118,ZCTA5 92118,19771,491
8600000US92119,92119,ZCTA5 92119,23327,1123
8600000US92120,92120,ZCTA5 92120,25463,1068
8600000US92121,92121,ZCTA5 92121,4580,487
8600000US92122,92122,ZCTA5 92122,46217,1557
8600000US92123,92123,ZCTA5 92123,27437,1102
8600000US92124,92124,ZCTA5 92124,31024,840
8600000US92126,92126,ZCTA5 92126,76797,1951
8600000US92127,92127,ZCTA5 92127,40237,1658
8600000US92128,92128,ZCTA5 92128,48438,1136
8600000US92129,92129,ZCTA5 92129,53218,1202
8600000US92130,92130,ZCTA5 92130,47599,1216
8600000US92131,92131,ZCTA5 92131,34306,849
8600000US92132,92132,ZCTA5 92132,0,13
8600000US92134,92134,ZCTA5 92134,62,31
8600000US92135,92135,ZCTA5 92135,1358,341
8600000US92139,92139,ZCTA5 92139,36528,1480
8600000US92140,92140,ZCTA5 92140,2661,437
8600000US92145,92145,ZCTA5 92145,1381,357
8600000US92147,92147,ZCTA5 92147,459,166
8600000US92154,92154,ZCTA5 92154,81952,1888
8600000US92155,92155,ZCTA5 92155,839,339
8600000US92173,92173,ZCTA5 92173,28723,1190
8600000US92201,92201,ZCTA5 92201,63009,1112
8600000US92203,92203,ZCTA5 92203,24850,1486
8600000US92210,92210,ZCTA5 92210,4861,100
8600000US92211,92211,ZCTA5 92211,24477,1183
8600000US92220,92220,ZCTA5 92220,31860,376
8600000US92222,92222,ZCTA5 92222,0,13
8600000US92223,92223,ZCTA5 92223,42408,509
8600000US92225,92225,ZCTA5 92225,24292,449
8600000US92227,92227,ZCTA5 92227,26310,240
8600000US92230,92230,ZCTA5 92230,2121,623
8600000US92231,92231,ZCTA5 92231,38700,283
8600000US92233,92233,ZCTA5 92233,10520,225
8600000US92234,92234,ZCTA5 92234,51507,68
8600000US92236,92236,ZCTA5 92236,40881,187
8600000US92239,92239,ZCTA5 92239,345,69
8600000US92240,92240,ZCTA5 92240,33178,1043
8600000US92241,92241,ZCTA5 92241,9823,1027
8600000US92242,92242,ZCTA5 92242,1329,170
8600000US92243,92243,ZCTA5 92243,47762,568
8600000US92249,92249,ZCTA5 92249,7277,685
8600000US92250,92250,ZCTA5 92250,8692,507
8600000US92251,92251,ZCTA5 92251,21416,684
8600000US92252,92252,ZCTA5 92252,9680,1009
8600000US92253,92253,ZCTA5 92253,37101,324
8600000US92254,92254,ZCTA5 92254,11181,744
8600000US92256,92256,ZCTA5 92256,3736,542
8600000US92257,92257,ZCTA5 92257,2044,396
8600000US92258,92258,ZCTA5 92258,529,432
8600000US92259,92259,ZCTA5 92259,334,153
8600000US92260,92260,ZCTA5 92260,31365,1073
8600000US92262,92262,ZCTA5 92262,25302,656
8600000US92264,92264,ZCTA5 92264,20397,613
8600000US92266,92266,ZCTA5 92266,73,68
8600000US92267,92267,ZCTA5 92267,35,52
8600000US92268,92268,ZCTA5 92268,511,243
8600000US92270,92270,ZCTA5 92270,17215,65
