CITY, POPULATION
Lomita, 20533
Lompico, 1137
Lompoc Valley, 58405
Lompoc, 43260
London, 1869
Lone Pine, 2035
Long Beach, 467892
Loomis Basin-Folsom Lake, 89014
Loomis, 6617
Los Alamitos, 11668
Los Alamos, 1890
Los Altos Hills, 8212
Los Altos, 29929
Los Angeles, 3857799
Los Banos, 36747
Los Berros, 641
Los Gatos, 30141
Los Molinos, 2037
Los Olivos, 1132
Los Osos, 14276
Los Padres, 785
Los Ranchos, 1477
Lost Hills, 2412
Lower Lake, 1294
Lower Trinity, 2223
Loyalton, 729
Loyola, 3261
Lucas Valley-Marinwood, 6094
Lucerne Valley, 5811
Lucerne, 3067
Lynwood, 70709
Lytle Creek, 701
Mad River, 897
Madeline Plains, 4161
Madera Acres, 9163
Madera, 62624
Madison, 503
Magalia, 11310
Malaga, 947
Malibu, 12832
Mammoth Lakes, 8253
Manhattan Beach, 35738
Manila, 784
Manteca, 71067
Manton, 347
March AFB, 1159
Maricopa, 1163
Marin City, 2666
Marina del Rey, 8866
Marina, 20253
Mariposa, 2173
Markleeville, 210
Martell, 282
Martinez, 36673
Marysville Rural, 7361
Marysville, 12152
Matheny, 1212
Mather, 108400
Maxwell, 1103
Mayfair, 4589
Mayflower Village, 5515
Maywood, 27659
McArthur, 338
McClellan Park, 743
McCloud-Medicine Lake, 1690
McCloud, 1101
McFarland, 12393
McKinleyville, 15177
McSwain, 4171
Mead Valley, 18510
Meadow Valley, 464
Meadow Vista, 3217
Meadowbrook, 3185
Mecca, 8577
Meiners Oaks, 3571
Mendocino, 894
Mendota, 11398
Menifee, 81474
Menlo Park, 32881
Mentone, 8720
Merced, 80793
Meridian-Robbins, 1855
Meridian, 358
Mesa Verde, 1023
Mesa, 251
Mexican Colony, 281
Mi-Wuk Village, 941
Middletown, 1323
Midpines, 1204
Midway City, 8485
Mill Valley, 14159
Millbrae, 22078
Millville, 727
Milpitas, 68800
Minkler, 1003
Mira Loma, 21930
Mira Monte, 6854
Miranda, 520
Mission Canyon, 2381
Mission Hills, 3576
Mission Viejo, 95290
Modesto, 203547
Mojave, 4238
Mokelumne Hill, 646
Mono Vista, 3127
Monrovia, 36955
Montague, 1419
Montalvin Manor, 2876
Montara, 2909
Montclair, 37528
Monte Rio, 1152
Monte Sereno, 3464
Montebello, 63305
Montecito, 8965
Monterey Park, 60937
Monterey, 29003
Monument Hills, 1542
Moorpark, 35088
Morada, 3828
Moraga, 17270
Moreno Valley, 199552
Morgan Hill, 39420
Morongo Valley, 3552
Morro Bay, 10370
Moskowite Corner, 211
Moss Beach, 3103
Moss Landing, 204
Mount Baldy-Wrightwood, 6995
Mount Hermon, 1037
Mount Shasta, 3330
Mountain Empire, 6830
Mountain Gate, 943
Mountain House, 9675
Mountain Mesa, 777
Mountain Ranch, 1628
Mountain View Acres, 3130
Mountain View, 76621
Muir Beach, 310
Murphys, 2213
Murrieta Hot Springs, 3887
Murrieta, 106810
Muscoy, 10644
Myrtletown, 4675
Napa, 78340
National City, 59387
Nebo Center, 1361
Needles, 4912
Nevada City, 3046
New Cuyama, 517
Newark, 43621
Newberry-Baker, 15792
Newcastle, 1224
Newell, 449
Newhall, 192980
Newman, 10576
Newport Beach, 87068
Newport Coast, 2765
Nice, 2731
Nicolaus, 211
Niland, 1006
Nipinnawasee, 475
Nipomo, 16714
Norco, 27393
Nord, 320
Norris Canyon, 957
North Antelope Valley, 153969
North Auburn, 13022
North Coastal, 20764
North Coast, 376527
North Edwards, 1058
North El Dorado, 31656
North El Monte, 3723
North Fair Oaks, 14687
North Gate, 679
North Highlands, 42694
North Lakeport, 3314
North Richmond, 3717
North San Juan, 269
North Shore, 3477
North Tustin, 24917
North Woodbridge, 1546
Northeast Marin, 54172
Northwest Marin, 9291
Norwalk, 106278
Novato, 53301
Nuevo, 6447
Oak Glen, 638
Oak Hills, 8879
Oak Park, 13811
Oak Shores, 337
Oak View, 4066
Oakdale, 21194
Oakhurst-North Fork, 30244
Oakhurst, 2829
Oakland, 400740
Oakley, 37278
Oasis, 6890
Occidental, 1115
Oceano, 7286
Oceanside, 171293
Ocotillo, 266
Oildale, 32684
Ojai, 7558
Old Fig Garden, 5365
Olivehurst, 13656
Ontario, 167211
Onyx, 475
Opal Cliffs, 5846
Orange Cove, 9580
Orangevale, 33960
Orange, 139419
Orcutt, 28905
Orick, 357
Orinda, 18342
Orland, 7396
Orosi, 8262
Oroville East, 8280
Oroville, 15566
Oxnard, 201555
Pacheco, 3685
Pacific Grove, 15407
Pacifica, 38189
Pajaro, 3070
Palermo, 5382
Palm Desert, 50013
Palm Springs, 45907
Palmdale, 155650
Palo Alto, 66363
Palo Cedro, 1269
Palomar-Julian, 6523
Palos Verdes Estates, 13606
Palos Verdes, 91593
Paradise Park, 389
Paradise, 26216
Paramount, 54680
Parklawn, 1337
Parksdale, 2621
Parkway-South Sacramento, 40720
Parkway, 14670
Parkwood, 2268
Parlier, 14777
Pasadena, 138547
Pasatiempo, 1041
Paso Robles, 42751
Patterson Tract, 1752
Patterson, 20659
Patton Village, 702
Pauma Valley, 7475
Pedley, 12672
Pendleton, 38073
Penn Valley, 1621
Penngrove, 2522
Penryn, 831
Perris Valley, 190588
Perris, 71326
Pescadero, 643
Petaluma, 58921
Peters, 672
Phelan, 14304
Philo, 349
Phoenix Lake-Cedar Ridge, 5219
Phoenix Lake, 4269
Pico Rivera, 63522
Piedmont, 10893
Pine Canyon, 1822
Pine Grove-Silver Lake, 10703
Pine Grove, 2219
Pine Hills, 3131
Pine Mountain Club, 2315
Pine Mountain Lake, 2796
Pine Valley, 1510
Pinole, 18729
Pinon Hills, 7272
Pioneer, 1094
Piru, 2063
Pismo Beach, 7785
Pittsburg, 65664
Pixley, 3310
Placentia, 51673
Placerville, 10348
Plainview, 945
Planada, 4584
Pleasant Hill, 33831
Pleasanton, 72338
Plumas Eureka, 339
Plumas Lake, 5853
Plymouth, 984
Point Arena, 447
Point Reyes Station, 848
Pollock Pines, 6871
Pomona, 150812
Poplar-Cotton Center, 2470
Port Hueneme, 21856
Porterville, 55023
Portola Hills, 6618
Portola Valley, 4490
Portola, 2030
Potrero, 656
Potter Valley, 646
Poway, 49071
Princeton, 303
Proberta, 267
Prunedale, 17560
Quail Valley, 2161
Quartz Hill, 10912
Quincy, 1728
Rackerby, 204
Rail Road Flat, 475
Rainbow, 1832
Raisin City, 380
Ramona, 20292
Rancho Calaveras, 5325
Rancho Cordova, 66997
Rancho Cucamonga, 170746
Rancho Mirage, 17687
Rancho Murieta, 5488
Rancho Palos Verdes, 42323
Rancho San Diego, 21208
Rancho Santa Fe, 3117
Rancho Santa Margarita, 48879
Rancho Tehama Reserve, 1485
Red Bluff, 14157
Red Corral, 1413
Red Mountain-Trona, 2659
Redding, 90755
Redlands, 69916
Redondo Beach, 67693
Redway, 1225
Redwood City, 79009
Redwood Valley, 1729
Redwood-Potter, 11545
Reedley, 24842
Reliez Valley, 3101
Rialto, 101740
Richfield, 306
Richgrove, 2882
Richmond, 106516
Richvale, 244
Ridgecrest, 28325
Ridgemark, 3016
Rio Dell, 3369
Rio Linda, 15106
Rio Oso, 356
Rio Vista, 7563
Rio del Mar, 9216
Ripley, 692
Ripon, 14686
River Pines, 379
Riverbank, 23298
Riverdale Park, 1128
Riverdale, 3153
Riverside, 313673
Robbins, 323
Rocklin, 59030
Rodeo, 8679
Rohnert Park, 41232
Rolling Hills Estates, 8190
Rolling Hills, 1886
Rollingwood, 2969
Romoland, 1684
Rosamond, 18150
Rose Hills, 2803
Rosedale, 14058
Roseland, 6325
Rosemead, 54393
Rosemont, 22681
Roseville, 124519
Ross Valley, 59297
Rossmoor, 10244
Ross, 2439
Rough and Ready, 963
Round Valley, 435
Rouse, 2005
Rowland Heights, 48993
Rubidoux, 34280
