GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US91362,91362,ZCTA5 91362,35267,784
8600000US91364,91364,ZCTA5 91364,25087,821
8600000US91367,91367,ZCTA5 91367,39503,1514
8600000US91371,91371,ZCTA5 91371,0,95
8600000US91377,91377,ZCTA5 91377,14045,513
8600000US91381,91381,ZCTA5 91381,18597,757
8600000US91384,91384,ZCTA5 91384,29617,979
8600000US91387,91387,ZCTA5 91387,39991,1453
8600000US91390,91390,ZCTA5 91390,19348,735
8600000US91401,91401,ZCTA5 91401,38600,1559
8600000US91402,91402,ZCTA5 91402,70676,1887
8600000US91403,91403,ZCTA5 91403,23551,883
8600000US91405,91405,ZCTA5 91405,53395,2053
8600000US91406,91406,ZCTA5 91406,52955,1673
8600000US91411,91411,ZCTA5 91411,23520,1097
8600000US91423,91423,ZCTA5 91423,30268,1228
8600000US91436,91436,ZCTA5 91436,14294,808
8600000US91501,91501,ZCTA5 91501,20860,911
8600000US91502,91502,ZCTA5 91502,11134,928
8600000US91504,91504,ZCTA5 91504,25370,812
8600000US91505,91505,ZCTA5 91505,29835,861
8600000US91506,91506,ZCTA5 91506,19039,832
8600000US91601,91601,ZCTA5 91601,35830,1490
8600000US91602,91602,ZCTA5 91602,17342,818
8600000US91604,91604,ZCTA5 91604,27107,1087
8600000US91605,91605,ZCTA5 91605,54052,1698
8600000US91606,91606,ZCTA5 91606,45897,1594
8600000US91607,91607,ZCTA5 91607,28346,1174
8600000US91608,91608,ZCTA5 91608,0,95
8600000US91701,91701,ZCTA5 91701,40394,1604
8600000US91702,91702,ZCTA5 91702,59967,1157
8600000US91706,91706,ZCTA5 91706,77012,285
8600000US91708,91708,ZCTA5 91708,3854,607
8600000US91709,91709,ZCTA5 91709,74765,60
8600000US91710,91710,ZCTA5 91710,79755,969
8600000US91711,91711,ZCTA5 91711,35460,240
8600000US91722,91722,ZCTA5 91722,35400,1540
8600000US91723,91723,ZCTA5 91723,18753,1025
8600000US91724,91724,ZCTA5 91724,24784,1442
8600000US91730,91730,ZCTA5 91730,63925,1727
8600000US91731,91731,ZCTA5 91731,29279,1204
